"species","date","geo_group","region","losses","dead","discarded","escaped","other"
"salmon",2021-07-01,"area","area_3",930342,664148,21211,742,244241
"rainbowtrout",2021-12-01,"area","area_5",505363,411221,22063,398,71681
"rainbowtrout",2024-03-01,"area","area_1",890954,728450,24995,602,136907
"salmon",2020-01-01,"area","area_3",861897,705263,23765,485,132384
"rainbowtrout",2022-06-01,"area","area_1",865119,735425,36611,322,92761
"salmon",2021-06-01,"area","area_1",872727,662457,18128,265,191877
"salmon",2021-10-01,"area","area_1",899124,748072,29850,624,120578
"rainbowtrout",2022-07-01,"area","area_4",959649,838275,47962,726,72686
"salmon",2022-07-01,"area","area_2",633057,521212,30601,474,80770
"salmon",2022-06-01,"area","area_2",580643,489204,28015,313,63111
"rainbowtrout",2021-04-01,"area","area_1",893460,703531,42589,847,146493
"salmon",2023-02-01,"area","area_4",513621,452919,11556,309,48837
"salmon",2022-04-01,"area","area_4",997615,819708,49626,325,127956
"salmon",2021-05-01,"area","area_1",520055,461464,17838,411,40342
"rainbowtrout",2023-10-01,"area","area_2",703787,622957,18062,318,62450
"salmon",2021-12-01,"area","area_3",760097,536777,23233,259,199828
"salmon",2024-12-01,"area","area_1",663948,514875,21737,418,126918
"salmon",2022-10-01,"area","area_2",872412,727049,30908,120,114335
"rainbowtrout",2021-03-01,"area","area_2",974187,836708,43985,837,92657
"salmon",2023-12-01,"area","area_1",883157,788937,44049,677,49494
"rainbowtrout",2021-06-01,"area","area_2",817799,729628,31996,687,55488
"rainbowtrout",2024-12-01,"area","area_5",861294,773843,27265,773,59413
"salmon",2024-07-01,"area","area_4",835612,653427,37022,194,144969
"rainbowtrout",2023-01-01,"area","area_2",690640,524293,34497,454,131396
"rainbowtrout",2020-05-01,"area","area_2",784371,662383,21214,390,100384
"rainbowtrout",2021-03-01,"area","area_5",948478,823424,44493,548,80013
"rainbowtrout",2022-12-01,"area","area_3",658991,475883,21743,470,160895
"rainbowtrout",2020-11-01,"area","area_3",556996,494103,20244,394,42255
"salmon",2023-05-01,"area","area_2",592784,518426,19367,403,54588
"salmon",2022-06-01,"area","area_1",719273,599340,32903,571,86459
"rainbowtrout",2021-10-01,"area","area_1",705459,605836,20491,285,78847
"salmon",2024-09-01,"area","area_1",683132,541517,17929,490,123196
"salmon",2021-04-01,"area","area_2",904817,797705,25655,170,81287
"rainbowtrout",2021-09-01,"area","area_4",682463,543885,30535,567,107476
"salmon",2021-09-01,"area","area_4",521500,454038,14598,76,52788
"salmon",2024-03-01,"area","area_5",826035,672636,19279,98,134022
"salmon",2021-06-01,"area","area_2",963255,718794,26796,121,217544
"rainbowtrout",2024-07-01,"area","area_3",653095,473434,16150,318,163193
"salmon",2023-11-01,"area","area_3",719807,515340,31785,712,171970
"salmon",2023-02-01,"area","area_3",811389,602374,22802,478,185735
"salmon",2020-12-01,"area","area_4",878127,740134,21828,439,115726
"rainbowtrout",2023-08-01,"area","area_4",946506,831500,41611,183,73212
"salmon",2021-02-01,"area","area_3",757196,675263,25248,519,56166
"rainbowtrout",2024-10-01,"area","area_2",819364,575238,27567,698,215861
"rainbowtrout",2023-08-01,"area","area_3",576144,440905,24630,259,110350
"rainbowtrout",2021-12-01,"area","area_3",772240,657796,32936,239,81269
"rainbowtrout",2024-05-01,"area","area_5",539580,447388,23499,400,68293
"rainbowtrout",2023-07-01,"area","area_4",764996,643747,18231,236,102782
"rainbowtrout",2020-01-01,"area","area_1",841966,660974,33800,352,146840
"rainbowtrout",2024-02-01,"area","area_1",854071,672723,26522,273,154553
"rainbowtrout",2021-08-01,"area","area_4",836203,683657,39849,722,111975
"rainbowtrout",2022-08-01,"area","area_4",529061,382665,12791,390,133215
"salmon",2020-12-01,"area","area_3",840542,648372,32435,743,158992
"rainbowtrout",2023-03-01,"area","area_1",623467,517950,24882,153,80482
"salmon",2022-03-01,"area","area_1",835181,688491,38797,656,107237
"rainbowtrout",2022-05-01,"area","area_3",539477,412659,19572,70,107176
"rainbowtrout",2022-01-01,"area","area_3",667488,554294,21354,269,91571
"salmon",2020-09-01,"area","area_4",854086,699488,41915,174,112509
"salmon",2022-11-01,"area","area_2",581960,410612,17135,382,153831
"rainbowtrout",2020-03-01,"area","area_3",712270,611953,17053,692,82572
"rainbowtrout",2023-07-01,"area","area_1",644755,488619,18630,596,136910
"rainbowtrout",2023-02-01,"area","area_3",530620,390117,22899,318,117286
"salmon",2020-08-01,"area","area_3",636932,451621,31243,556,153512
"rainbowtrout",2023-05-01,"area","area_1",686215,611150,31867,574,42624
"salmon",2024-06-01,"area","area_1",846553,682983,19710,524,143336
"rainbowtrout",2023-06-01,"area","area_1",879279,775660,21865,519,81235
"rainbowtrout",2020-03-01,"area","area_2",756110,550055,17968,109,187978
"rainbowtrout",2024-08-01,"area","area_5",776248,568877,34658,769,171944
"salmon",2022-01-01,"area","area_5",903902,751329,32816,775,118982
"rainbowtrout",2021-02-01,"area","area_4",765250,626688,25944,550,112068
"salmon",2023-10-01,"area","area_4",632865,499037,15635,161,118032
"salmon",2024-01-01,"area","area_5",703095,564157,22593,644,115701
"salmon",2020-08-01,"area","area_4",602778,469194,27886,198,105500
"rainbowtrout",2022-01-01,"area","area_5",658211,533028,17091,153,107939
"salmon",2022-08-01,"area","area_5",664748,510450,18284,602,135412
"rainbowtrout",2020-12-01,"area","area_5",800265,690007,29740,402,80116
"salmon",2023-11-01,"area","area_4",832486,609931,32705,340,189510
"salmon",2022-08-01,"area","area_1",580770,421634,23522,437,135177
"salmon",2024-04-01,"area","area_2",500440,423443,18874,240,57883
"salmon",2022-01-01,"area","area_1",650814,578294,13134,290,59096
"rainbowtrout",2020-11-01,"area","area_4",610018,466907,22007,384,120720
"rainbowtrout",2021-12-01,"area","area_4",686410,586585,31405,511,67909
"rainbowtrout",2020-12-01,"area","area_4",823468,579668,37263,733,205804
"salmon",2021-01-01,"area","area_3",659679,527490,21743,252,110194
"rainbowtrout",2021-10-01,"area","area_4",618407,457048,22385,508,138466
"rainbowtrout",2021-07-01,"area","area_5",885198,685393,29187,246,170372
"rainbowtrout",2021-06-01,"area","area_4",790180,665121,29653,753,94653
"rainbowtrout",2021-07-01,"area","area_3",521779,428094,13606,217,79862
"rainbowtrout",2021-09-01,"area","area_2",940023,755516,25931,894,157682
"rainbowtrout",2022-11-01,"area","area_1",810857,666929,33484,487,109957
"salmon",2022-07-01,"area","area_5",514837,397039,22977,398,94423
"rainbowtrout",2020-02-01,"area","area_1",792789,567921,32366,153,192349
"rainbowtrout",2021-02-01,"area","area_5",965388,730969,20458,516,213445
"rainbowtrout",2021-11-01,"area","area_3",688539,494862,33234,326,160117
"salmon",2022-02-01,"area","area_3",757622,543239,21205,140,193038
"rainbowtrout",2021-08-01,"area","area_5",880148,785758,35622,369,58399
"rainbowtrout",2020-07-01,"area","area_2",652944,477466,28528,215,146735
"rainbowtrout",2023-08-01,"area","area_2",960151,827724,44916,335,87176
"salmon",2023-04-01,"area","area_1",978058,760365,41343,360,175990
"salmon",2023-06-01,"area","area_1",574611,410735,26131,112,137633
"salmon",2020-04-01,"area","area_4",950256,807677,36753,230,105596
"rainbowtrout",2022-04-01,"area","area_4",695889,624979,25874,454,44582
"rainbowtrout",2021-10-01,"area","area_2",663362,536586,30436,562,95778
"rainbowtrout",2022-09-01,"area","area_5",749133,665029,25266,455,58383
"rainbowtrout",2023-09-01,"area","area_1",694661,520798,34119,180,139564
"salmon",2020-04-01,"area","area_3",665698,503688,15243,441,146326
"rainbowtrout",2023-10-01,"area","area_3",887837,688093,44291,499,154954
"salmon",2020-02-01,"area","area_4",883551,782842,39214,185,61310
"rainbowtrout",2022-04-01,"area","area_5",703809,574229,17504,85,111991
"rainbowtrout",2020-11-01,"area","area_5",515928,361703,23033,164,131028
"salmon",2024-05-01,"area","area_3",916291,683381,43055,137,189718
"salmon",2022-11-01,"area","area_5",782622,582811,24770,438,174603
"salmon",2021-02-01,"area","area_4",573543,469304,26210,220,77809
"rainbowtrout",2024-01-01,"area","area_1",516834,364984,16036,281,135533
"salmon",2021-01-01,"area","area_5",575213,460906,14226,182,99899
"rainbowtrout",2021-03-01,"area","area_4",804917,710399,25558,445,68515
"salmon",2020-11-01,"area","area_4",661100,546393,19480,443,94784
"rainbowtrout",2022-03-01,"area","area_4",537371,435643,24553,406,76769
"salmon",2023-03-01,"area","area_2",644536,490099,20620,278,133539
"rainbowtrout",2022-08-01,"area","area_2",760497,540687,34410,234,185166
"rainbowtrout",2021-01-01,"area","area_2",713059,625963,26483,405,60208
"rainbowtrout",2020-05-01,"area","area_4",957731,791105,36428,439,129759
"salmon",2021-07-01,"area","area_5",613676,434678,14847,84,164067
"salmon",2024-03-01,"area","area_1",532555,462944,15988,119,53504
"salmon",2021-09-01,"area","area_5",664260,570674,29389,507,63690
"rainbowtrout",2021-04-01,"area","area_3",796095,621317,31340,623,142815
"salmon",2020-01-01,"area","area_1",643428,554558,31686,78,57106
"salmon",2024-05-01,"area","area_1",892140,661617,26121,729,203673
"salmon",2021-11-01,"area","area_3",662464,476025,26816,118,159505
"rainbowtrout",2020-12-01,"area","area_1",945582,674069,36888,850,233775
"rainbowtrout",2022-05-01,"area","area_2",631407,524204,29410,91,77702
"salmon",2022-12-01,"area","area_4",608330,449892,13573,557,144308
"rainbowtrout",2023-04-01,"area","area_2",929054,775058,37587,718,115691
"salmon",2022-04-01,"area","area_3",585783,495666,16414,135,73568
"salmon",2022-03-01,"area","area_3",916173,675082,33360,391,207340
"salmon",2021-09-01,"area","area_3",580595,432210,12387,351,135647
"salmon",2023-12-01,"area","area_2",670219,574349,20950,539,74381
"salmon",2021-07-01,"area","area_2",557056,495979,24175,116,36786
"salmon",2024-06-01,"area","area_2",604712,500454,29036,265,74957
"rainbowtrout",2022-07-01,"area","area_3",597546,530231,14642,191,52482
"salmon",2023-08-01,"area","area_2",665743,543221,29590,232,92700
"salmon",2021-04-01,"area","area_3",560347,456668,27713,131,75835
"salmon",2023-05-01,"area","area_1",725845,541636,28973,267,154969
"salmon",2023-10-01,"area","area_1",824381,619688,34454,815,169424
"rainbowtrout",2023-01-01,"area","area_5",981245,838293,44416,586,97950
"salmon",2020-03-01,"area","area_5",599531,525740,24995,555,48241
"rainbowtrout",2023-04-01,"area","area_1",549993,390350,17352,483,141808
"salmon",2021-01-01,"area","area_4",543718,463967,11296,505,67950
"rainbowtrout",2024-11-01,"area","area_4",934071,816717,28331,568,88455
"salmon",2022-04-01,"area","area_5",798158,581415,37801,707,178235
"salmon",2023-04-01,"area","area_4",762505,670466,20072,551,71416
"salmon",2020-09-01,"area","area_2",507068,417317,22168,275,67308
"salmon",2021-05-01,"area","area_2",620131,551166,20898,429,47638
"rainbowtrout",2022-07-01,"area","area_1",788675,589042,34796,637,164200
"salmon",2024-12-01,"area","area_4",708454,611828,34949,149,61528
"rainbowtrout",2021-02-01,"area","area_2",758873,578190,18501,604,161578
"rainbowtrout",2022-03-01,"area","area_2",694324,530756,23016,674,139878
"rainbowtrout",2023-11-01,"area","area_3",756320,673922,34512,97,47789
"salmon",2021-04-01,"area","area_4",808535,717096,25427,667,65345
"rainbowtrout",2024-11-01,"area","area_3",682036,583097,13772,379,84788
"rainbowtrout",2023-06-01,"area","area_2",976930,878587,23111,414,74818
"salmon",2023-07-01,"area","area_3",738645,654254,19872,355,64164
"rainbowtrout",2020-09-01,"area","area_4",946515,752533,27339,705,165938
"rainbowtrout",2020-02-01,"area","area_4",750250,611823,27620,383,110424
"rainbowtrout",2021-09-01,"area","area_3",526710,457729,18026,243,50712
"rainbowtrout",2024-03-01,"area","area_5",528770,379175,20681,461,128453
"rainbowtrout",2022-05-01,"area","area_4",977265,732745,22552,439,221529
"salmon",2020-10-01,"area","area_3",886001,629418,23964,878,231741
"rainbowtrout",2022-10-01,"area","area_3",733844,544921,35336,234,153353
"salmon",2024-08-01,"area","area_3",587067,466674,20202,271,99920
"rainbowtrout",2023-03-01,"area","area_4",782050,661054,38680,335,81981
"rainbowtrout",2021-10-01,"area","area_3",698081,538179,18489,333,141080
"rainbowtrout",2024-01-01,"area","area_5",911121,672358,23703,538,214522
"rainbowtrout",2024-12-01,"area","area_4",734498,565991,32398,701,135408
"rainbowtrout",2022-09-01,"area","area_2",594939,446396,28468,180,119895
"rainbowtrout",2021-11-01,"area","area_1",697470,624321,22954,605,49590
"salmon",2020-04-01,"area","area_2",885866,717452,30485,513,137416
"salmon",2021-07-01,"area","area_4",916486,667328,38472,665,210021
"rainbowtrout",2024-10-01,"area","area_4",928987,712652,26963,440,188932
"salmon",2024-09-01,"area","area_5",919263,814405,34381,558,69919
"salmon",2024-11-01,"area","area_3",948907,820644,35112,847,92304
"salmon",2020-05-01,"area","area_2",646117,462151,26277,595,157094
"rainbowtrout",2022-02-01,"area","area_1",925092,724061,39071,781,161179
"rainbowtrout",2022-02-01,"area","area_5",584541,463594,25698,371,94878
"salmon",2024-03-01,"area","area_2",671693,474974,14202,401,182116
"rainbowtrout",2020-06-01,"area","area_3",588656,505627,28722,208,54099
"salmon",2023-03-01,"area","area_4",682083,542309,16616,190,122968
"salmon",2020-06-01,"area","area_1",676913,558541,20208,325,97839
"salmon",2020-01-01,"area","area_4",767314,578159,32313,396,156446
"salmon",2024-11-01,"area","area_2",957625,825539,20172,825,111089
"salmon",2023-06-01,"area","area_5",555702,390157,12778,328,152439
"rainbowtrout",2024-10-01,"area","area_5",932859,795254,30830,571,106204
"rainbowtrout",2023-03-01,"area","area_3",708434,550929,20537,175,136793
"rainbowtrout",2022-12-01,"area","area_2",948972,665654,23760,765,258793
"rainbowtrout",2021-03-01,"area","area_3",584774,460661,27445,241,96427
"rainbowtrout",2023-12-01,"area","area_2",785094,581745,32801,763,169785
"salmon",2023-09-01,"area","area_1",525446,464701,15899,173,44673
"salmon",2023-08-01,"area","area_3",699389,550247,24465,495,124182
"salmon",2022-03-01,"area","area_5",893886,729177,22523,150,142036
"rainbowtrout",2022-09-01,"area","area_1",828174,714212,29774,688,83500
"salmon",2021-03-01,"area","area_3",519002,447044,10730,241,60987
"salmon",2020-06-01,"area","area_2",704140,540784,21768,448,141140
"rainbowtrout",2022-12-01,"county","county_2",767817,627896,27063,652,112206
"salmon",2020-11-01,"county","county_3",782130,649040,28439,327,104324
"rainbowtrout",2024-11-01,"county","county_2",983449,748798,34172,745,199734
"rainbowtrout",2020-11-01,"county","county_2",730732,558381,14728,244,157379
"salmon",2020-01-01,"county","county_3",687380,563613,27004,327,96436
"rainbowtrout",2022-02-01,"county","county_2",661606,567076,21921,531,72078
"rainbowtrout",2020-06-01,"county","county_2",763442,552479,29624,687,180652
"salmon",2021-03-01,"county","county_2",577845,432973,20251,149,124472
"rainbowtrout",2021-07-01,"county","county_2",929334,721303,21714,385,185932
"salmon",2024-08-01,"county","county_1",630363,468060,26762,401,135140
"rainbowtrout",2022-02-01,"county","county_3",751381,624119,26699,469,100094
"rainbowtrout",2024-11-01,"county","county_3",986760,752128,36528,929,197175
"rainbowtrout",2021-05-01,"county","county_3",667402,514774,22956,199,129473
"salmon",2024-08-01,"county","county_3",573002,446861,15025,370,110746
"rainbowtrout",2022-12-01,"county","county_3",649976,542647,23958,340,83031
"rainbowtrout",2023-12-01,"county","county_2",681390,503949,19353,492,157596
"salmon",2021-08-01,"county","county_2",751648,566508,23476,551,161113
"rainbowtrout",2023-10-01,"county","county_2",552921,416768,14623,378,121152
"salmon",2022-03-01,"county","county_3",523837,452280,14663,260,56634
"rainbowtrout",2021-04-01,"county","county_3",841130,603668,37355,834,199273
"rainbowtrout",2020-10-01,"county","county_2",566046,507831,20904,558,36753
"rainbowtrout",2022-06-01,"county","county_3",669645,526893,16022,119,126611
"rainbowtrout",2023-10-01,"county","county_3",603547,422518,17523,381,163125
"salmon",2024-07-01,"county","county_3",964346,792426,32999,246,138675
"rainbowtrout",2022-06-01,"county","county_1",997149,848714,41568,256,106611
"salmon",2020-08-01,"county","county_3",925273,670138,41779,173,213183
"salmon",2020-02-01,"county","county_3",874100,716808,23596,457,133239
"rainbowtrout",2022-11-01,"county","county_2",695483,491566,14609,650,188658
"rainbowtrout",2024-12-01,"county","county_3",658679,546764,19886,243,91786
"salmon",2020-10-01,"county","county_2",560112,402265,23316,420,134111
"rainbowtrout",2022-09-01,"county","county_3",620752,510608,24965,506,84673
"salmon",2022-07-01,"county","county_2",611985,519657,19433,453,72442
"rainbowtrout",2021-11-01,"county","county_3",949002,664881,38682,576,244863
"salmon",2020-09-01,"county","county_1",504200,413628,21561,109,68902
"salmon",2021-10-01,"county","county_1",756244,666291,30876,585,58492
"salmon",2024-05-01,"county","county_1",824792,690449,35226,399,98718
"salmon",2020-08-01,"county","county_1",828450,668826,18995,318,140311
"salmon",2023-05-01,"county","county_3",535319,406201,16890,287,111941
"rainbowtrout",2020-08-01,"county","county_1",803500,634897,18771,296,149536
"salmon",2024-03-01,"county","county_2",668633,530669,21322,465,116177
"rainbowtrout",2022-08-01,"county","county_1",706826,601142,17259,390,88035
"salmon",2022-05-01,"county","county_3",911815,735602,44771,159,131283
"rainbowtrout",2023-05-01,"county","county_2",505284,413038,12900,220,79126
"salmon",2024-11-01,"county","county_2",570934,403034,20427,264,147209
"rainbowtrout",2020-06-01,"county","county_3",779182,615128,23768,757,139529
"rainbowtrout",2021-06-01,"county","county_2",827179,616247,32682,768,177482
"salmon",2023-11-01,"county","county_3",880113,631714,17737,402,230260
"rainbowtrout",2020-07-01,"county","county_1",851183,632249,26575,725,191634
"salmon",2022-01-01,"county","county_2",864617,654511,36090,253,173763
"salmon",2020-03-01,"county","county_3",508520,454163,24058,306,29993
"salmon",2022-01-01,"county","county_1",916294,689674,29343,634,196643
"rainbowtrout",2023-04-01,"county","county_3",752558,643642,32640,208,76068
"rainbowtrout",2023-04-01,"county","county_1",517635,379855,14013,189,123578
"salmon",2023-10-01,"county","county_2",772959,616549,31228,442,124740
"rainbowtrout",2023-11-01,"county","county_1",644068,490893,25168,231,127776
"rainbowtrout",2024-06-01,"county","county_2",679978,553294,16080,161,110443
"salmon",2022-11-01,"county","county_2",544747,423042,22083,181,99441
"salmon",2021-03-01,"county","county_1",909902,660067,39659,313,209863
"salmon",2023-01-01,"county","county_3",891602,673112,19407,732,198351
"rainbowtrout",2022-06-01,"county","county_2",559067,455473,13679,224,89691
"salmon",2022-06-01,"county","county_1",500429,391077,12805,481,96066
"rainbowtrout",2020-01-01,"county","county_3",748734,641852,36815,708,69359
"salmon",2021-09-01,"county","county_1",794889,560857,33896,182,199954
"salmon",2021-01-01,"county","county_2",990367,724752,36570,969,228076
"salmon",2024-09-01,"county","county_3",928567,744979,22143,352,161093
"salmon",2021-02-01,"county","county_1",645687,456013,21396,274,168004
"rainbowtrout",2021-02-01,"county","county_1",689807,539094,14239,627,135847
"salmon",2022-04-01,"county","county_3",891595,631962,18599,246,240788
"rainbowtrout",2021-08-01,"county","county_2",949637,730356,37903,870,180508
"salmon",2020-07-01,"county","county_1",768485,682505,18621,450,66909
"rainbowtrout",2024-05-01,"county","county_3",817283,659719,19525,610,137429
"salmon",2020-02-01,"county","county_2",946079,832369,35000,563,78147
"salmon",2024-04-01,"county","county_3",786684,559648,30200,125,196711
"rainbowtrout",2024-05-01,"county","county_1",957622,855378,21558,327,80359
"rainbowtrout",2021-10-01,"county","county_3",862110,619788,34603,673,207046
"salmon",2020-01-01,"county","county_2",932436,808996,42536,381,80523
"salmon",2022-08-01,"county","county_2",857849,688831,32070,355,136593
"rainbowtrout",2021-02-01,"county","county_2",539858,483517,24387,217,31737
"rainbowtrout",2022-01-01,"county","county_2",761727,598245,18429,325,144728
"salmon",2020-12-01,"county","county_3",579160,474051,14809,359,89941
"rainbowtrout",2020-12-01,"county","county_1",766318,620825,23267,485,121741
"rainbowtrout",2020-11-01,"county","county_3",630520,510195,17831,406,102088
"rainbowtrout",2023-01-01,"county","county_2",842816,705801,29613,624,106778
"salmon",2023-08-01,"county","county_3",983260,782625,24235,157,176243
"rainbowtrout",2022-08-01,"county","county_2",541538,386320,23172,420,131626
"salmon",2024-06-01,"county","county_1",934275,815707,24407,231,93930
"salmon",2024-02-01,"county","county_3",824456,664104,19659,454,140239
"salmon",2022-12-01,"county","county_2",954541,852941,34510,148,66942
"salmon",2020-03-01,"county","county_1",527247,438713,16911,201,71422
"salmon",2021-05-01,"county","county_2",827513,722286,23316,449,81462
"rainbowtrout",2022-10-01,"county","county_2",724596,560093,35475,533,128495
"rainbowtrout",2023-07-01,"county","county_3",682161,553456,13946,617,114142
"salmon",2023-04-01,"county","county_3",502751,387665,16656,175,98255
"salmon",2021-02-01,"county","county_2",617844,525914,16489,172,75269
"rainbowtrout",2022-12-01,"county","county_1",567028,506431,14485,191,45921
"salmon",2022-02-01,"county","county_1",583745,483362,18447,77,81859
"rainbowtrout",2020-09-01,"county","county_2",748340,527540,18124,634,202042
"rainbowtrout",2020-04-01,"county","county_1",832041,702859,40917,783,87482
"salmon",2023-08-01,"county","county_2",674207,579598,20337,168,74104
"salmon",2021-03-01,"county","county_3",832862,740062,25911,658,66231
"rainbowtrout",2021-09-01,"county","county_1",742842,541300,26424,84,175034
"salmon",2021-12-01,"county","county_2",549409,403144,22442,85,123738
"salmon",2022-09-01,"county","county_2",518072,465045,13275,279,39473
"rainbowtrout",2022-07-01,"county","county_1",623084,558892,15198,134,48860
"salmon",2023-03-01,"county","county_1",752683,648997,34727,278,68681
"salmon",2020-04-01,"county","county_1",809935,644341,35789,614,129191
"rainbowtrout",2020-10-01,"county","county_3",581514,437896,12572,179,130867
"salmon",2020-10-01,"county","county_3",905308,685511,40332,615,178850
"salmon",2023-07-01,"county","county_2",903772,726354,20377,337,156704
"salmon",2020-04-01,"county","county_2",590502,496948,21390,150,72014
"salmon",2023-06-01,"county","county_2",761235,616809,29598,150,114678
"rainbowtrout",2021-10-01,"county","county_1",820672,650443,39060,802,130367
"rainbowtrout",2024-06-01,"county","county_1",541382,414344,20892,205,105941
"rainbowtrout",2020-12-01,"county","county_2",526674,443824,21832,133,60885
"salmon",2021-07-01,"county","county_2",672893,533001,29347,363,110182
"salmon",2022-02-01,"county","county_2",663272,521547,30157,180,111388
"rainbowtrout",2024-04-01,"county","county_2",717281,504359,26837,616,185469
"rainbowtrout",2022-07-01,"county","county_3",500382,404557,16547,213,79065
"salmon",2020-08-01,"county","county_2",815569,580457,40662,374,194076
"rainbowtrout",2022-10-01,"county","county_1",981050,778380,24499,824,177347
"salmon",2020-05-01,"county","county_2",861651,710174,42709,681,108087
"salmon",2024-10-01,"county","county_1",968572,791571,39457,214,137330
"salmon",2024-04-01,"county","county_2",953475,841951,36884,895,73745
"rainbowtrout",2021-10-01,"county","county_2",667013,475824,20290,286,170613
"salmon",2020-09-01,"county","county_2",914905,802224,39287,382,73012
"rainbowtrout",2024-07-01,"county","county_2",654608,499108,23616,237,131647
"rainbowtrout",2021-07-01,"county","county_3",676275,492068,26651,191,157365
"salmon",2023-11-01,"county","county_2",648358,566975,25929,129,55325
"salmon",2020-01-01,"county","county_1",989758,695939,29927,465,263427
"rainbowtrout",2022-09-01,"county","county_2",650512,500879,31418,106,118109
"rainbowtrout",2023-07-01,"county","county_1",966316,751489,31987,651,182189
"rainbowtrout",2020-10-01,"county","county_1",612097,515549,22077,156,74315
"rainbowtrout",2020-03-01,"county","county_2",864175,690231,37431,219,136294
"salmon",2022-03-01,"county","county_1",809393,591208,21006,304,196875
"rainbowtrout",2024-03-01,"county","county_1",952025,681278,20435,391,249921
"salmon",2020-05-01,"county","county_1",835601,698634,16979,730,119258
"salmon",2020-02-01,"county","county_1",782385,681227,28964,103,72091
"salmon",2024-09-01,"county","county_1",578645,499173,13858,473,65141
"rainbowtrout",2024-05-01,"county","county_2",790589,607740,35966,489,146394
"salmon",2021-11-01,"county","county_1",764505,582243,31110,740,150412
"rainbowtrout",2023-08-01,"county","county_1",617714,499026,22463,134,96091
"rainbowtrout",2024-09-01,"county","county_1",552181,461974,22829,354,67024
"rainbowtrout",2024-01-01,"county","county_2",680417,593846,20106,516,65949
"rainbowtrout",2024-08-01,"county","county_1",979539,776551,28810,699,173479
"salmon",2024-01-01,"county","county_1",649459,552263,19499,427,77270
"salmon",2022-10-01,"county","county_2",540002,468575,19692,313,51422
"salmon",2022-07-01,"county","county_3",727639,574678,23724,372,128865
"salmon",2023-03-01,"county","county_3",567166,467514,16865,272,82515
"salmon",2023-02-01,"county","county_1",931034,736265,19614,227,174928
"salmon",2024-04-01,"county","county_1",705905,581182,27891,460,96372
"rainbowtrout",2020-06-01,"county","county_1",673112,512181,16923,514,143494
"salmon",2024-07-01,"county","county_1",952404,709057,26396,150,216801
"rainbowtrout",2022-01-01,"county","county_3",851075,697413,18991,745,133926
"rainbowtrout",2024-07-01,"county","county_3",913483,762362,34097,167,116857
"salmon",2023-08-01,"county","county_1",835087,656018,29954,641,148474
"salmon",2022-04-01,"county","county_1",929818,787629,30979,552,110658
"salmon",2024-10-01,"county","county_3",687699,509483,22068,554,155594
"rainbowtrout",2023-06-01,"county","county_3",517217,442438,13788,62,60929
"rainbowtrout",2020-07-01,"county","county_3",720880,517865,33111,118,169786
"rainbowtrout",2021-01-01,"county","county_3",549921,428585,11730,450,109156
"rainbowtrout",2021-12-01,"county","county_2",903444,763219,42591,293,97341
"rainbowtrout",2022-08-01,"county","county_3",765508,639212,35933,335,90028
"salmon",2020-12-01,"county","county_1",698759,603022,21533,386,73818
"rainbowtrout",2022-04-01,"county","county_2",702782,597649,14812,209,90112
"salmon",2020-11-01,"county","county_1",991513,753732,34342,231,203208
"rainbowtrout",2023-09-01,"county","county_2",661850,523374,14386,515,123575
"rainbowtrout",2020-04-01,"county","county_3",734057,574034,29969,496,129558
"salmon",2024-09-01,"county","county_2",944774,768414,20927,678,154755
"rainbowtrout",2021-04-01,"county","county_1",758311,626229,25473,236,106373
"salmon",2024-11-01,"county","county_1",529030,452232,17465,358,58975
"salmon",2023-06-01,"county","county_1",986874,764527,25446,362,196539
"salmon",2021-12-01,"county","county_1",845559,662102,31232,706,151519
"salmon",2024-07-01,"county","county_2",891900,688984,28064,562,174290
"rainbowtrout",2020-08-01,"county","county_2",546396,478088,10932,302,57074
"rainbowtrout",2023-05-01,"county","county_1",540665,380337,16182,401,143745
"salmon",2021-06-01,"county","county_2",821294,599768,38537,729,182260
"rainbowtrout",2021-12-01,"county","county_1",631950,537438,15749,471,78292
"rainbowtrout",2023-09-01,"county","county_3",588343,471809,25219,154,91161
"rainbowtrout",2020-11-01,"county","county_1",958416,754439,38210,235,165532
"salmon",2021-04-01,"county","county_3",696768,529774,17794,267,148933
"salmon",2023-12-01,"county","county_3",821153,582935,19111,300,218807
"rainbowtrout",2023-04-01,"county","county_2",797869,590958,18850,325,187736
"rainbowtrout",2024-04-01,"county","county_3",846718,670066,21912,468,154272
"rainbowtrout",2021-04-01,"county","county_2",870588,697353,33651,637,138947
"salmon",2024-05-01,"county","county_3",917514,718502,29521,434,169057
"salmon",2021-08-01,"county","county_3",816592,616303,28094,381,171814
"rainbowtrout",2024-10-01,"county","county_3",869514,627076,26118,266,216054
"salmon",2022-06-01,"county","county_3",825943,612487,31933,449,181074
"salmon",2024-12-01,"county","county_2",935179,686890,42862,901,204526
"rainbowtrout",2022-02-01,"county","county_1",596681,506057,12083,73,78468
"salmon",2020-10-01,"county","county_1",992090,716992,41236,703,233159
"rainbowtrout",2021-03-01,"county","county_3",922289,672721,31075,316,218177
"rainbowtrout",2024-10-01,"county","county_2",635030,533290,23319,492,77929
"rainbowtrout",2020-12-01,"county","county_3",717937,560581,27741,233,129382
"rainbowtrout",2021-09-01,"county","county_3",725067,580659,28821,232,115355
"salmon",2020-11-01,"county","county_2",646803,459927,29812,71,156993
"salmon",2024-06-01,"county","county_3",593141,439794,13375,402,139570
