"species","date","geo_group","region","median","q1","q3"
"rainbowtrout",2022-04-01,"area","area_5",1.34,0.12,2.05
"rainbowtrout",2025-12-01,"area","area_1",0.54,0.26,2.32
"rainbowtrout",2023-08-01,"area","area_1",1.06,0.33,2.35
"salmon",2021-04-01,"area","area_5",0.56,0.3,2.24
"rainbowtrout",2021-04-01,"area","area_2",0.86,0.4,2.49
"salmon",2021-06-01,"area","area_5",0.74,0.14,1.95
"rainbowtrout",2024-06-01,"area","area_2",0.79,0.49,1.66
"salmon",2025-05-01,"area","area_4",0.65,0.49,2.42
"salmon",2025-11-01,"area","area_3",1.45,0.21,1.71
"rainbowtrout",2024-08-01,"area","area_3",1.5,0.16,1.54
"rainbowtrout",2024-01-01,"area","area_5",1.29,0.41,1.83
"rainbowtrout",2023-12-01,"area","area_2",1.28,0.25,1.56
"rainbowtrout",2024-10-01,"area","area_2",1.39,0.12,1.6
"rainbowtrout",2022-10-01,"area","area_5",0.55,0.11,2.34
"salmon",2025-03-01,"area","area_1",1.42,0.41,2.46
"salmon",2022-04-01,"area","area_5",0.77,0.45,2.06
"salmon",2025-11-01,"area","area_2",1.34,0.42,1.97
"rainbowtrout",2023-11-01,"area","area_3",1.05,0.47,2.16
"salmon",2023-05-01,"area","area_2",1.42,0.43,1.77
"salmon",2024-02-01,"area","area_2",1.32,0.21,2.13
"rainbowtrout",2022-03-01,"area","area_1",1.49,0.11,2.27
"rainbowtrout",2023-06-01,"area","area_5",1.42,0.48,2
"salmon",2022-05-01,"area","area_5",1.08,0.37,1.88
"salmon",2022-02-01,"area","area_1",0.68,0.18,2.44
"rainbowtrout",2024-12-01,"area","area_2",1.41,0.26,2.28
"rainbowtrout",2025-06-01,"area","area_2",1.31,0.11,2.28
"salmon",2023-02-01,"area","area_5",0.95,0.27,1.8
"rainbowtrout",2022-03-01,"area","area_5",1.27,0.12,2.49
"rainbowtrout",2025-07-01,"area","area_5",0.68,0.13,2.36
"rainbowtrout",2021-09-01,"area","area_1",0.85,0.48,2.32
"salmon",2023-07-01,"area","area_5",1.4,0.33,1.6
"salmon",2022-07-01,"area","area_2",1.02,0.28,1.52
"rainbowtrout",2021-05-01,"area","area_2",0.83,0.21,1.73
"rainbowtrout",2025-11-01,"area","area_2",0.82,0.14,2.06
"rainbowtrout",2023-11-01,"area","area_5",1.01,0.39,2.11
"salmon",2023-06-01,"area","area_4",1.22,0.12,1.54
"salmon",2023-04-01,"area","area_4",0.56,0.3,2.34
"salmon",2023-07-01,"area","area_3",0.55,0.25,2.44
"rainbowtrout",2022-01-01,"area","area_3",1.21,0.29,2.25
"rainbowtrout",2024-09-01,"area","area_2",1.38,0.4,2.22
"rainbowtrout",2021-07-01,"area","area_5",0.66,0.31,1.58
"salmon",2025-10-01,"area","area_2",1.39,0.49,1.85
"salmon",2024-11-01,"area","area_5",0.79,0.41,2.16
"salmon",2025-07-01,"area","area_5",0.77,0.3,2.22
"salmon",2023-10-01,"area","area_2",0.55,0.19,1.58
"rainbowtrout",2024-10-01,"area","area_5",1.17,0.25,1.96
"salmon",2022-09-01,"area","area_2",0.98,0.34,2.32
"rainbowtrout",2023-02-01,"area","area_4",1.29,0.46,1.9
"salmon",2025-07-01,"area","area_3",1.34,0.16,1.74
"salmon",2024-07-01,"area","area_4",0.73,0.45,1.64
"salmon",2021-04-01,"area","area_2",0.72,0.36,2.15
"rainbowtrout",2024-06-01,"area","area_1",1.13,0.18,1.61
"rainbowtrout",2021-08-01,"area","area_5",1.39,0.15,2.13
"rainbowtrout",2023-04-01,"area","area_3",1.37,0.22,1.74
"salmon",2022-01-01,"area","area_2",0.99,0.27,1.53
"salmon",2024-02-01,"area","area_3",0.8,0.48,2.37
"salmon",2025-12-01,"area","area_2",0.64,0.13,2.48
"rainbowtrout",2022-01-01,"area","area_1",0.9,0.42,2.47
"salmon",2025-08-01,"area","area_1",1.17,0.25,2.43
"salmon",2025-06-01,"area","area_2",0.52,0.34,1.89
"rainbowtrout",2023-04-01,"area","area_2",1.02,0.14,2.01
"salmon",2022-01-01,"area","area_4",1.36,0.36,1.88
"salmon",2025-01-01,"area","area_2",0.55,0.28,2.11
"rainbowtrout",2024-09-01,"area","area_1",1.39,0.12,1.61
"rainbowtrout",2023-09-01,"area","area_3",1.18,0.15,1.81
"rainbowtrout",2023-05-01,"area","area_4",0.88,0.26,2.05
"salmon",2022-03-01,"area","area_3",1.2,0.33,2.41
"rainbowtrout",2023-03-01,"area","area_1",1.47,0.41,1.94
"salmon",2023-08-01,"area","area_3",0.8,0.31,2.35
"rainbowtrout",2021-05-01,"area","area_3",1.31,0.32,2.16
"rainbowtrout",2024-02-01,"area","area_1",1.35,0.17,1.52
"rainbowtrout",2025-08-01,"area","area_2",1.19,0.44,1.81
"rainbowtrout",2024-08-01,"area","area_5",0.51,0.27,1.94
"salmon",2025-03-01,"area","area_2",0.79,0.47,2.31
"rainbowtrout",2024-07-01,"area","area_3",0.84,0.27,1.55
"rainbowtrout",2025-09-01,"area","area_2",0.62,0.34,2.49
"rainbowtrout",2021-02-01,"area","area_4",1.08,0.43,1.99
"rainbowtrout",2024-10-01,"area","area_4",1.31,0.46,2.02
"salmon",2023-09-01,"area","area_3",0.67,0.42,1.68
"salmon",2022-02-01,"area","area_2",1.19,0.47,2.47
"salmon",2023-03-01,"area","area_1",1.09,0.28,1.82
"salmon",2021-07-01,"area","area_3",1.35,0.46,1.55
"rainbowtrout",2024-05-01,"area","area_5",0.83,0.19,2.32
"rainbowtrout",2022-01-01,"area","area_5",0.68,0.29,2
"salmon",2021-12-01,"area","area_2",1.37,0.31,2.42
"rainbowtrout",2023-09-01,"area","area_2",0.7,0.45,1.81
"rainbowtrout",2024-02-01,"area","area_2",0.95,0.25,1.92
"rainbowtrout",2021-07-01,"area","area_2",0.73,0.4,1.66
"salmon",2021-08-01,"area","area_2",0.82,0.46,1.63
"salmon",2022-06-01,"area","area_5",0.93,0.17,2.44
"rainbowtrout",2021-12-01,"area","area_1",0.82,0.39,1.63
"rainbowtrout",2022-05-01,"area","area_3",1.25,0.25,1.98
"rainbowtrout",2025-10-01,"area","area_5",1.13,0.17,1.9
"salmon",2021-09-01,"area","area_3",1.44,0.21,1.91
"rainbowtrout",2023-03-01,"area","area_2",1.23,0.36,2.31
"rainbowtrout",2024-01-01,"area","area_4",0.97,0.15,2.39
"rainbowtrout",2025-05-01,"area","area_2",1.27,0.32,2.03
"rainbowtrout",2025-09-01,"area","area_3",1.23,0.48,2.45
"rainbowtrout",2024-07-01,"area","area_1",1.14,0.22,1.53
"salmon",2023-05-01,"area","area_5",1.25,0.41,1.99
"salmon",2025-09-01,"area","area_5",0.55,0.26,2.4
"salmon",2022-03-01,"area","area_4",0.52,0.37,2.44
"rainbowtrout",2023-09-01,"area","area_4",1.07,0.43,2.12
"salmon",2021-01-01,"area","area_4",0.86,0.49,2.24
"rainbowtrout",2022-01-01,"area","area_4",1.03,0.24,2.12
"salmon",2023-06-01,"area","area_5",0.66,0.44,2
"rainbowtrout",2024-05-01,"area","area_2",1.11,0.16,2.28
"rainbowtrout",2025-11-01,"area","area_5",0.6,0.17,1.54
"rainbowtrout",2023-06-01,"area","area_4",1.39,0.46,2.1
"rainbowtrout",2022-10-01,"area","area_2",1.5,0.44,2.41
"rainbowtrout",2021-08-01,"area","area_2",0.61,0.32,1.85
"rainbowtrout",2023-11-01,"area","area_4",0.86,0.28,2.12
"rainbowtrout",2025-05-01,"area","area_4",1.09,0.37,1.55
"rainbowtrout",2021-11-01,"area","area_5",1.05,0.49,1.68
"rainbowtrout",2021-02-01,"area","area_2",0.89,0.38,2.02
"salmon",2024-01-01,"area","area_5",1.2,0.18,1.79
"rainbowtrout",2021-06-01,"area","area_4",1.3,0.13,1.95
"rainbowtrout",2025-03-01,"area","area_3",1.32,0.3,2.32
"rainbowtrout",2021-08-01,"area","area_3",0.8,0.14,2.38
"salmon",2022-09-01,"area","area_5",1.07,0.24,2.1
"salmon",2023-04-01,"area","area_3",1.37,0.18,1.54
"salmon",2024-01-01,"area","area_2",0.71,0.11,1.57
"rainbowtrout",2023-08-01,"area","area_3",0.83,0.26,1.56
"rainbowtrout",2022-09-01,"area","area_5",1.09,0.35,2.11
"rainbowtrout",2023-04-01,"area","area_1",1.42,0.39,2.13
"salmon",2023-05-01,"area","area_1",1.33,0.44,1.56
"rainbowtrout",2024-03-01,"area","area_5",1,0.34,2.01
"salmon",2023-03-01,"area","area_2",0.97,0.39,2.28
"rainbowtrout",2022-10-01,"area","area_1",0.54,0.34,2.03
"rainbowtrout",2022-11-01,"area","area_4",0.7,0.22,2.13
"salmon",2022-05-01,"area","area_1",0.92,0.18,2.33
"salmon",2024-02-01,"area","area_4",1.3,0.13,1.75
"salmon",2021-07-01,"area","area_1",0.68,0.39,1.56
"salmon",2023-01-01,"area","area_2",1.16,0.18,1.93
"salmon",2021-03-01,"area","area_5",1.27,0.41,1.8
"rainbowtrout",2025-01-01,"area","area_3",1.04,0.4,1.52
"salmon",2021-03-01,"area","area_2",0.85,0.11,1.55
"rainbowtrout",2022-11-01,"area","area_3",0.74,0.4,1.97
"rainbowtrout",2021-03-01,"area","area_3",0.62,0.27,2.34
"rainbowtrout",2025-02-01,"area","area_2",1.39,0.12,2.07
"rainbowtrout",2024-03-01,"area","area_3",0.93,0.16,1.74
"salmon",2025-12-01,"area","area_3",1.23,0.13,2.05
"rainbowtrout",2025-01-01,"area","area_5",1.05,0.44,1.85
"salmon",2024-08-01,"area","area_2",1.06,0.38,1.66
"rainbowtrout",2025-06-01,"area","area_1",1.07,0.1,1.57
"rainbowtrout",2021-07-01,"area","area_4",1.39,0.22,2.18
"salmon",2025-09-01,"area","area_3",0.79,0.14,2.15
"rainbowtrout",2022-11-01,"area","area_1",0.89,0.43,2.14
"rainbowtrout",2025-11-01,"area","area_4",1.34,0.34,2.42
"salmon",2025-09-01,"area","area_1",1.17,0.34,2.5
"salmon",2023-11-01,"area","area_2",0.58,0.19,2.15
"salmon",2025-04-01,"area","area_2",0.94,0.34,1.8
"rainbowtrout",2025-04-01,"area","area_1",0.85,0.19,2.09
"rainbowtrout",2025-04-01,"area","area_4",1.48,0.22,2.11
"salmon",2025-02-01,"area","area_1",0.99,0.29,1.9
"rainbowtrout",2023-02-01,"area","area_5",1.25,0.14,2.04
"salmon",2024-08-01,"area","area_3",1.11,0.17,2.46
"salmon",2021-01-01,"area","area_3",1.14,0.34,1.88
"rainbowtrout",2023-07-01,"area","area_3",1.1,0.47,2.26
"salmon",2025-07-01,"area","area_4",0.73,0.29,2.2
"salmon",2023-12-01,"area","area_2",1.23,0.24,2.18
"rainbowtrout",2025-04-01,"area","area_2",0.81,0.41,1.94
"rainbowtrout",2022-07-01,"area","area_5",0.8,0.26,1.53
"rainbowtrout",2025-10-01,"area","area_3",0.77,0.28,1.66
"rainbowtrout",2021-08-01,"area","area_4",1.28,0.17,1.91
"rainbowtrout",2024-09-01,"area","area_3",1.03,0.25,2.35
"salmon",2021-04-01,"area","area_1",0.85,0.45,1.86
"rainbowtrout",2024-02-01,"area","area_5",1.27,0.48,2.33
"salmon",2022-09-01,"area","area_3",0.62,0.18,2
"rainbowtrout",2025-07-01,"area","area_3",0.57,0.24,1.82
"rainbowtrout",2025-03-01,"area","area_5",1.45,0.15,1.76
"salmon",2023-10-01,"area","area_5",0.53,0.47,1.72
"salmon",2025-08-01,"area","area_5",0.95,0.21,2.32
"salmon",2022-12-01,"area","area_3",0.79,0.2,2.44
"salmon",2025-06-01,"area","area_4",0.57,0.3,1.62
"rainbowtrout",2023-07-01,"area","area_1",0.59,0.16,1.97
"rainbowtrout",2024-05-01,"county","county_3",0.74,0.15,1.81
"rainbowtrout",2024-05-01,"county","county_1",0.66,0.42,1.58
"rainbowtrout",2023-06-01,"county","county_2",0.75,0.16,2.28
"rainbowtrout",2024-01-01,"county","county_3",1.43,0.4,1.91
"rainbowtrout",2023-09-01,"county","county_2",1.21,0.46,1.97
"rainbowtrout",2023-10-01,"county","county_3",1.36,0.23,2.27
"salmon",2025-11-01,"county","county_2",0.86,0.39,1.77
"salmon",2022-01-01,"county","county_1",0.86,0.29,1.65
"rainbowtrout",2022-05-01,"county","county_3",0.5,0.48,2.26
"rainbowtrout",2025-03-01,"county","county_2",0.54,0.16,2.07
"salmon",2022-04-01,"county","county_1",1.45,0.27,1.87
"rainbowtrout",2022-06-01,"county","county_3",0.9,0.41,1.59
"rainbowtrout",2023-11-01,"county","county_2",1.28,0.16,1.82
"rainbowtrout",2022-04-01,"county","county_3",1.47,0.46,2.03
"rainbowtrout",2023-05-01,"county","county_3",1.19,0.33,2.1
"salmon",2023-07-01,"county","county_2",0.82,0.3,1.61
"rainbowtrout",2025-03-01,"county","county_1",1.34,0.1,1.78
"salmon",2023-04-01,"county","county_1",1.36,0.48,1.67
"salmon",2024-06-01,"county","county_1",0.88,0.25,1.72
"rainbowtrout",2022-02-01,"county","county_3",0.84,0.39,2.14
"rainbowtrout",2025-02-01,"county","county_3",1.36,0.25,2.49
"rainbowtrout",2025-10-01,"county","county_2",0.69,0.29,2.47
"rainbowtrout",2022-06-01,"county","county_2",0.99,0.24,1.96
"salmon",2024-05-01,"county","county_1",0.85,0.35,1.58
"salmon",2023-12-01,"county","county_2",1.14,0.17,1.66
"salmon",2021-06-01,"county","county_1",1.23,0.1,2.25
"rainbowtrout",2025-03-01,"county","county_3",0.73,0.28,2.12
"salmon",2022-05-01,"county","county_1",0.68,0.2,1.99
"salmon",2022-09-01,"county","county_2",1.45,0.3,1.88
"rainbowtrout",2022-09-01,"county","county_1",1.22,0.41,1.85
"salmon",2025-12-01,"county","county_1",1.49,0.13,1.93
"salmon",2022-10-01,"county","county_2",0.53,0.18,2.11
"salmon",2021-11-01,"county","county_2",0.76,0.14,1.87
"rainbowtrout",2021-11-01,"county","county_1",1.23,0.28,2.2
"rainbowtrout",2022-11-01,"county","county_1",0.99,0.48,1.7
"rainbowtrout",2023-04-01,"county","county_3",0.79,0.23,2.3
"rainbowtrout",2024-04-01,"county","county_2",1.4,0.48,1.88
"salmon",2023-03-01,"county","county_1",1.05,0.3,1.69
"salmon",2024-09-01,"county","county_1",0.84,0.29,1.92
"salmon",2025-08-01,"county","county_2",0.9,0.41,2.23
"rainbowtrout",2023-05-01,"county","county_2",0.84,0.33,2.26
"salmon",2023-05-01,"county","county_3",0.52,0.34,1.74
"salmon",2024-07-01,"county","county_2",0.79,0.33,1.96
"rainbowtrout",2025-07-01,"county","county_2",0.91,0.39,1.88
"salmon",2021-03-01,"county","county_2",0.6,0.18,2.13
"salmon",2024-06-01,"county","county_3",0.54,0.41,2.38
"rainbowtrout",2025-09-01,"county","county_3",1.27,0.48,1.93
"salmon",2021-04-01,"county","county_3",0.6,0.47,2.11
"salmon",2021-05-01,"county","county_2",0.99,0.44,1.96
"salmon",2024-04-01,"county","county_3",0.54,0.15,2.28
"salmon",2021-09-01,"county","county_1",1.37,0.28,2.44
"rainbowtrout",2024-05-01,"county","county_2",0.77,0.31,1.81
"salmon",2023-12-01,"county","county_1",1.48,0.2,1.83
"rainbowtrout",2022-10-01,"county","county_2",1.33,0.2,1.52
"salmon",2025-02-01,"county","county_1",1.14,0.1,1.92
"rainbowtrout",2021-07-01,"county","county_3",0.74,0.19,1.93
"rainbowtrout",2021-04-01,"county","county_1",0.95,0.34,2.07
"rainbowtrout",2024-09-01,"county","county_2",1.24,0.32,2.36
"rainbowtrout",2022-01-01,"county","county_1",0.72,0.38,2.13
"rainbowtrout",2025-04-01,"county","county_2",1.03,0.12,1.58
"salmon",2022-07-01,"county","county_1",1.48,0.43,2.27
"rainbowtrout",2025-06-01,"county","county_1",1,0.15,2.27
"rainbowtrout",2022-03-01,"county","county_3",1.44,0.24,2.02
"salmon",2022-03-01,"county","county_2",0.74,0.1,2.32
"rainbowtrout",2024-07-01,"county","county_2",0.72,0.38,1.65
"rainbowtrout",2023-08-01,"county","county_2",0.83,0.43,1.84
"rainbowtrout",2022-02-01,"county","county_1",1,0.21,1.94
"salmon",2021-08-01,"county","county_3",0.86,0.14,2.07
"rainbowtrout",2021-07-01,"county","county_1",1.22,0.19,2.08
"rainbowtrout",2024-07-01,"county","county_3",1.11,0.27,1.91
"salmon",2021-05-01,"county","county_3",1.26,0.12,1.56
"rainbowtrout",2021-06-01,"county","county_2",1.16,0.19,1.55
"salmon",2022-09-01,"county","county_3",1.4,0.11,1.52
"salmon",2022-08-01,"county","county_3",1.32,0.48,2.22
"rainbowtrout",2025-10-01,"county","county_3",0.63,0.42,1.91
"salmon",2024-10-01,"county","county_1",0.83,0.18,2.09
"salmon",2021-08-01,"county","county_1",1.4,0.21,1.96
"salmon",2022-12-01,"county","county_3",0.89,0.12,2.09
"salmon",2022-02-01,"county","county_1",0.53,0.29,1.89
"salmon",2025-01-01,"county","county_3",0.76,0.3,1.81
"salmon",2021-09-01,"county","county_2",1.31,0.32,1.64
"salmon",2022-06-01,"county","county_3",1.05,0.19,2.19
"rainbowtrout",2023-04-01,"county","county_1",1.27,0.34,2.21
"salmon",2024-09-01,"county","county_2",0.88,0.23,1.91
"salmon",2025-05-01,"county","county_2",0.57,0.36,1.7
"rainbowtrout",2025-05-01,"county","county_3",0.51,0.47,2.44
"salmon",2023-02-01,"county","county_3",0.98,0.27,1.69
"rainbowtrout",2021-03-01,"county","county_3",1.49,0.21,1.77
"rainbowtrout",2022-12-01,"county","county_1",1.17,0.18,2.03
"salmon",2021-04-01,"county","county_1",0.72,0.2,1.59
"salmon",2024-02-01,"county","county_3",1.45,0.28,2
"rainbowtrout",2024-04-01,"county","county_1",1.23,0.37,1.54
"salmon",2023-03-01,"county","county_3",1.19,0.16,1.83
"rainbowtrout",2023-06-01,"county","county_3",1.46,0.41,2.4
"salmon",2021-01-01,"county","county_1",0.63,0.37,1.54
"salmon",2023-03-01,"county","county_2",0.8,0.4,2.23
"rainbowtrout",2021-07-01,"county","county_2",0.67,0.36,1.92
"rainbowtrout",2023-02-01,"county","county_1",0.75,0.46,1.98
"rainbowtrout",2024-08-01,"county","county_1",0.94,0.19,1.72
"salmon",2021-07-01,"county","county_3",0.99,0.25,1.96
"rainbowtrout",2021-12-01,"county","county_1",0.62,0.33,2.46
"rainbowtrout",2024-01-01,"county","county_1",1.02,0.13,1.89
"rainbowtrout",2025-09-01,"county","county_1",1.29,0.26,2.28
"salmon",2023-12-01,"county","county_3",1.35,0.28,2.02
"salmon",2024-02-01,"county","county_2",0.99,0.13,2.12
"salmon",2021-07-01,"county","county_1",0.66,0.47,2.3
"rainbowtrout",2021-03-01,"county","county_2",0.78,0.27,1.92
"rainbowtrout",2025-11-01,"county","county_1",1,0.11,2.12
"rainbowtrout",2022-12-01,"county","county_3",0.86,0.43,2.43
"salmon",2025-07-01,"county","county_3",1.34,0.27,2.4
"salmon",2025-04-01,"county","county_1",1.48,0.25,1.51
"rainbowtrout",2025-07-01,"county","county_3",0.75,0.15,1.65
"rainbowtrout",2023-02-01,"county","county_2",0.58,0.34,1.57
"rainbowtrout",2022-08-01,"county","county_1",0.51,0.45,2.45
"rainbowtrout",2021-08-01,"county","county_2",0.58,0.33,2.05
"salmon",2023-11-01,"county","county_1",1.31,0.31,2.34
"rainbowtrout",2025-06-01,"county","county_3",0.95,0.21,2.23
"salmon",2023-06-01,"county","county_1",1.24,0.22,2.06
"salmon",2023-04-01,"county","county_2",0.99,0.21,2.36
"salmon",2021-03-01,"county","county_1",1.02,0.41,1.64
"rainbowtrout",2025-05-01,"county","county_2",0.53,0.46,1.79
"rainbowtrout",2021-04-01,"county","county_2",1.48,0.41,2.01
"rainbowtrout",2023-12-01,"county","county_2",1.44,0.28,1.52
"rainbowtrout",2022-07-01,"county","county_2",0.54,0.36,2.34
"salmon",2022-05-01,"county","county_2",1.33,0.3,1.65
"salmon",2025-02-01,"county","county_2",1.43,0.31,2.12
"rainbowtrout",2021-02-01,"county","county_2",0.72,0.46,1.88
"rainbowtrout",2025-08-01,"county","county_3",1.28,0.15,2.5
"salmon",2022-02-01,"county","county_3",0.52,0.29,2.13
"rainbowtrout",2023-11-01,"county","county_1",1.07,0.45,1.87
"salmon",2023-08-01,"county","county_2",0.79,0.17,1.6
"rainbowtrout",2021-02-01,"county","county_1",1.34,0.42,1.57
"salmon",2025-03-01,"county","county_1",1.2,0.27,1.99
"salmon",2021-01-01,"county","county_2",0.88,0.23,2.26
"rainbowtrout",2024-06-01,"county","county_3",0.95,0.23,1.59
"rainbowtrout",2025-02-01,"county","county_1",0.71,0.29,1.57
"salmon",2021-02-01,"county","county_2",1.29,0.26,2.31
"salmon",2023-01-01,"county","county_3",0.89,0.19,1.86
"salmon",2025-03-01,"county","county_3",1.44,0.17,1.65
"salmon",2024-08-01,"county","county_2",0.52,0.43,1.53
"rainbowtrout",2022-09-01,"county","county_3",1.37,0.37,2.34
"rainbowtrout",2021-03-01,"county","county_1",0.75,0.12,1.6
"salmon",2023-08-01,"county","county_3",0.69,0.46,2.36
"rainbowtrout",2023-05-01,"county","county_1",1.3,0.19,2.04
"salmon",2024-03-01,"county","county_3",0.65,0.18,1.8
"rainbowtrout",2025-06-01,"county","county_2",0.53,0.42,2.22
"rainbowtrout",2023-10-01,"county","county_1",1.11,0.41,1.51
"rainbowtrout",2023-01-01,"county","county_3",0.62,0.43,2.05
"salmon",2022-12-01,"county","county_1",1.07,0.17,2
"rainbowtrout",2021-04-01,"county","county_3",0.65,0.18,1.68
"rainbowtrout",2021-05-01,"county","county_1",0.58,0.14,1.79
"salmon",2021-04-01,"county","county_2",1.06,0.2,1.73
"salmon",2024-07-01,"county","county_3",0.8,0.48,1.88
"rainbowtrout",2023-03-01,"county","county_3",1.33,0.36,2.12
"salmon",2021-05-01,"county","county_1",1.38,0.46,2.23
"rainbowtrout",2025-09-01,"county","county_2",1.08,0.18,2.29
"rainbowtrout",2023-12-01,"county","county_3",1.48,0.26,1.64
"salmon",2024-07-01,"county","county_1",1.44,0.3,2.14
"rainbowtrout",2024-07-01,"county","county_1",0.66,0.28,1.83
"salmon",2024-01-01,"county","county_3",1.01,0.11,2.38
"salmon",2023-05-01,"county","county_1",0.8,0.12,2.48
"rainbowtrout",2025-12-01,"county","county_3",0.69,0.22,1.58
"rainbowtrout",2021-08-01,"county","county_3",1.23,0.14,2.41
"salmon",2021-03-01,"county","county_3",0.84,0.1,2.18
"salmon",2024-01-01,"county","county_1",1.29,0.4,2.34
"salmon",2025-04-01,"county","county_2",1.04,0.15,1.67
"salmon",2025-11-01,"county","county_3",1.14,0.28,2.27
"rainbowtrout",2024-06-01,"county","county_1",0.6,0.29,2.36
"salmon",2024-01-01,"county","county_2",1.29,0.41,1.66
"salmon",2025-11-01,"county","county_1",0.66,0.11,2.48
"salmon",2025-07-01,"county","county_1",1.23,0.4,1.57
"salmon",2023-09-01,"county","county_3",0.55,0.45,2.33
"rainbowtrout",2024-12-01,"county","county_2",1.07,0.27,2.01
"rainbowtrout",2022-03-01,"county","county_1",0.76,0.14,1.62
"rainbowtrout",2022-03-01,"county","county_2",0.84,0.38,1.69
"rainbowtrout",2021-01-01,"county","county_3",0.9,0.26,2.03
"rainbowtrout",2022-10-01,"county","county_1",0.9,0.38,2.02
"rainbowtrout",2023-07-01,"county","county_3",1.07,0.46,2.43
"rainbowtrout",2025-04-01,"county","county_1",1.03,0.4,1.97
"rainbowtrout",2024-11-01,"county","county_1",1.05,0.23,1.93
"salmon",2024-12-01,"county","county_3",0.58,0.28,1.71
"salmon",2021-08-01,"county","county_2",1.25,0.32,2.39
"rainbowtrout",2024-10-01,"county","county_2",1.16,0.25,1.78
"rainbowtrout",2023-08-01,"county","county_3",0.56,0.23,2.38
"salmon",2024-11-01,"county","county_2",0.58,0.21,2.14
"salmon",2022-06-01,"county","county_2",0.52,0.45,1.88
"salmon",2021-11-01,"county","county_3",0.97,0.24,2.1
"rainbowtrout",2025-04-01,"county","county_3",1.09,0.14,2.32
"rainbowtrout",2022-01-01,"county","county_2",0.64,0.23,1.84
"salmon",2025-10-01,"county","county_3",0.98,0.14,2.2
"salmon",2022-01-01,"county","county_2",0.79,0.36,2.15
"rainbowtrout",2021-05-01,"county","county_3",1.27,0.28,2.16
"rainbowtrout",2022-04-01,"county","county_2",0.59,0.35,1.79
"salmon",2024-12-01,"county","county_1",0.52,0.12,2.12
"rainbowtrout",2024-11-01,"county","county_2",0.92,0.36,2.11
"rainbowtrout",2025-08-01,"county","county_1",0.92,0.11,1.66
"salmon",2024-08-01,"county","county_1",0.79,0.4,2.06
"salmon",2022-03-01,"county","county_3",1.05,0.45,2.05
"rainbowtrout",2021-01-01,"county","county_2",0.69,0.39,1.69
"salmon",2025-08-01,"county","county_3",0.97,0.18,1.85
"rainbowtrout",2024-01-01,"county","county_2",0.55,0.39,2.17
"rainbowtrout",2024-09-01,"county","county_1",0.76,0.34,2.07
"salmon",2023-04-01,"county","county_3",0.62,0.46,2.27
"salmon",2021-10-01,"county","county_2",1.07,0.36,1.9
"salmon",2022-10-01,"county","county_1",1.08,0.27,1.55
"rainbowtrout",2022-01-01,"county","county_3",0.84,0.16,1.59
"rainbowtrout",2022-10-01,"county","county_3",1.48,0.27,1.65
"rainbowtrout",2022-05-01,"county","county_2",0.72,0.37,1.82
"rainbowtrout",2024-03-01,"county","county_3",1.45,0.43,2.45
"salmon",2022-08-01,"county","county_1",1.03,0.29,1.67
"salmon",2021-02-01,"county","county_3",0.53,0.38,1.64
"salmon",2022-04-01,"county","county_2",0.61,0.21,1.55
"rainbowtrout",2021-12-01,"county","county_2",1.29,0.19,2.03
"salmon",2021-09-01,"county","county_3",0.71,0.42,1.54
"rainbowtrout",2023-01-01,"county","county_1",0.69,0.16,2.21
"salmon",2025-08-01,"county","county_1",1.33,0.49,2.32
"rainbowtrout",2023-06-01,"county","county_1",1.34,0.46,1.83
"rainbowtrout",2021-08-01,"county","county_1",1.3,0.39,2.15
"salmon",2023-06-01,"county","county_2",0.88,0.4,2.21
"rainbowtrout",2021-10-01,"county","county_3",1.11,0.35,1.53
"salmon",2023-11-01,"county","county_3",1.02,0.11,2.13
"salmon",2022-09-01,"county","county_1",1.34,0.18,2.3
"rainbowtrout",2021-09-01,"county","county_2",0.91,0.23,1.58
"rainbowtrout",2024-03-01,"county","county_2",1.18,0.35,2.18
"rainbowtrout",2023-08-01,"county","county_1",0.88,0.34,1.6
"rainbowtrout",2021-11-01,"county","county_2",1.02,0.13,1.54
"salmon",2023-01-01,"county","county_2",1.17,0.21,2.04
"salmon",2025-06-01,"county","county_1",1.11,0.29,2.11
"rainbowtrout",2023-09-01,"county","county_1",1.45,0.27,1.66
"salmon",2023-08-01,"county","county_1",1.19,0.18,2.24
"salmon",2022-06-01,"county","county_1",1.17,0.46,1.77
"rainbowtrout",2024-04-01,"county","county_3",1.27,0.35,2.27
"salmon",2025-01-01,"county","county_1",0.53,0.18,2.32
"rainbowtrout",2025-01-01,"county","county_3",0.81,0.43,2.12
"salmon",2025-10-01,"county","county_2",0.51,0.33,1.86
"rainbowtrout",2022-05-01,"county","county_1",1.43,0.35,2.26
"salmon",2023-11-01,"county","county_2",0.78,0.13,1.62
"salmon",2025-04-01,"county","county_3",0.52,0.29,2.24
"rainbowtrout",2024-10-01,"county","county_1",0.87,0.41,1.57
"salmon",2022-07-01,"county","county_3",0.73,0.31,1.67
"salmon",2024-11-01,"county","county_3",0.92,0.43,2.24
"salmon",2025-09-01,"county","county_1",1.36,0.12,2.43
"salmon",2024-05-01,"county","county_3",1.14,0.39,2.24
"rainbowtrout",2025-08-01,"county","county_2",0.85,0.25,2.5
"rainbowtrout",2023-07-01,"county","county_2",1.03,0.25,2.05
"salmon",2025-09-01,"county","county_3",1.19,0.36,2.42
